username,name,age,picture,gender,bio,location,class
MedicalRyan,Ryan Loves TACO,28,Bot-Sp18.2.jpg,Male,MD Student at UCLA. TACOS 🌮 TACOS 🌮 TACOS 🌮 TACOS 🌮 TACOS 🌮 ,"West coast, best coast",normal
Lisa181818,Lisa,38,Bot-Sp18.3.jpg,Female,Health-convious mama in Kentucky. 🚫 GMO 🌱 Natural Food ,Proud Red State--KY,normal
this_jack,Jack Boy,26,Bot-Sp18.4.jpg,Male,😂 It's a car air freshner that I stick into my nose.,"New York, NY",normal
PatelS,Shristi Patel,25,Bot-Sp18.5.jpg,Female,Not your every day Indian girl who loves butter chicken. ,Wakanda or Hogwarts,normal
DonDonDonna,DonnaHAMMERSMITH,30,Bot-Sp18.6.jpg,Female,"RN at Mercy Hospital. 😋 Open Relationship with @MikeN📍 Fort Smith, AR","Fort Smith, AR",normal
EmmaSmith0214,Emma Smith,33,Bot-Sp18.7.jpg,Female,📱 Social Media Specialist. Corgi mama. Buffalo Wings Supporter. <3 WNY,Online 24/7,normal
B.Mike,Mike B.,33,Bot-Sp18.8.jpg,Male,Journey to a healthier life. Blink gym is my home. #RunFatBoyRun,"Scottland -> Brooklyn, NY",normal
mariaann,mariaann,38,Bot-Sp18.12.JPG,Female,,Santa Fe!!!,normal
thisisalfie1998,thisisalfie1999,20,Bot-Sp18.16.JPG,Male,HDA '15 --> UChi '19 Go bears!!! ,Chicago,normal
KatieeeM,KatieeeM,25,Bot-Sp18.9.JPG,Female,May the (food) force be with you always,Tatooine,normal
TimBJenkins,Dad Jenkins,42,Bot-Sp18.14.jpg,Male,Husband of a strong businesswoman and father of a beautiful ballerina,,normal
jiruletheworld,Jin Ying,23,Bot-SP18.22.png,Male,"Workout 🏋, Travel ✈, Eat 🍴",,normal
ayoitsayo,Maui Ayo,26,Bot-SP18.23.png,Male,"What's up, guys! Let me see some goodies ova here.","Honolulu, HI",normal
sweetietooth,Wendy,42,Bot-SP18.17.png,Female,"I have a constant sweet tooth, so I like anything from the bakery, like cupcakes, cookies.","Champaign, IL",normal
dana84,Dana Cox,34,Bot-SP18.18.png,Female,"It's me, Dana.","Ann Arbor, MI",normal
lucyinurdreams,Lucy Gregory,28,Bot-SP18.21.png,Female,"Cooking is like painting. Like colors, there are only so many flavors - it's how you combine them that sets you apart. ",NYC,normal
chefricky,Ricky Hopkins,41,Bot-SP18.20.png,Male,"The simplest things in life give me the most pleasure: cooking a good meal, enjoying my friends. ",Texas,normal
clayton.myers,clayton.myers,25,genericphoto5.png,Male,The most dangerous drinking game is seeing how long I can go without coffee.,"Pinehurst, NC",normal
aleeboi,Alex Lee,35,Bot-SP18.24.png,Male,Food makes me happy. I want to share the happiness with you!,Sunny Los Anageles,normal
mewranda,mewranda,22,genericphoto1.png,Female,Cat & Food & Love,Home with 6 cats,normal
masterchefterry,masterchefterry,32,Bot-Sp18.13.JPG,Male,I'm a chef with a side job as lawyer,"Washington, DC",normal
gwenfromtheblock,GwenfromtheBlock,28,person 2.jpeg,Female,Traveller ✈️🚃🚘,Nashville,normal
fgonzalez,MomFiona,45,genericphoto2.png,Female,,austin texas,normal
VitaBOCA,VitaBOCA,25,VitaBOCA.png,Female,"✔Fat Loss Never Tasted So Good.
✔Reduces Cravings.
✔Enhances Mood
✔Enhances Definition & Leanness.
✔All Day, Smooth Energy.","New York, NY",normal
EZpz,Emma Zhu,23,bobaPP.jpg,Female,"Love yourself, by stuffing all-you-can-eat buffets into your tummy 😛😛😛","Lincoln, NE",
MrShazam,MrShazam,40,clintonclinton.png,Female,,,
JuniperQ,JuniperQ,20,343kol.png,male,,AMERICA,
csmbx1,Suzanne,42,dogdogdog.jpg,Female,MAKE $5000 PER WEEK WORKING FROM HOME,,
